URL,Details,Fabric,Sheet
aadcdn.msftauth.net,This is required in the workflow for authentication to azure,Common to all fabrics,France Central (FRC)
login.windows.net,This is required in the workflow for authentication to azure,Common to all fabrics,France Central (FRC)
login.microsoftonline.com,This is required in the workflow for authentication to azure,Common to all fabrics,France Central (FRC)
www.office.com,This is required in the workflow for authentication to azure (legacy redirect),Common to all fabrics,France Central (FRC)
m365.cloud.microsoft,This is required in the workflow for authentication to azure (redirection),Common to all fabrics,France Central (FRC)
download.microsoft.com,This is required to download the latest versions of the various componentss of the Migrate appliance.,Common to all fabrics,France Central (FRC)
portal.azure.com,This is required for access to the Azure portal,Common to all fabrics,France Central (FRC)
management.azure.com,This is required for managing various ARM resources in Azure.,Common to all fabrics,France Central (FRC)
graph.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,France Central (FRC)
developer.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,France Central (FRC)
dc.services.visualstudio.com,Required for logging,Common to all fabrics,France Central (FRC)
rt.services.visualstudio.com,Required for logging,Common to all fabrics,France Central (FRC)
server.events.data.microsoft.com,Required for logging,Common to all fabrics,France Central (FRC)
eu-mobile.events.data.microsoft.com,Required for logging,Common to all fabrics,France Central (FRC)
hypervehubns2018-11-22-14-28-46-222.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,France Central (FRC)
hypervehubns2019-03-28-05-32-57-815.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,France Central (FRC)
vmwareehubns2018-11-22-14-42-52-696.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,France Central (FRC)
serverehubns1.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,France Central (FRC)
aka.ms/latestapplianceservices/francecentral,This URL redirects to the json mentioning the latest versions of appliance components for the region.,Common to all fabrics,France Central (FRC)
aka.ms/latestapplianceservices,This is the fallback URL that  redirects to the json mentioning the latest versions of appliance components for all regions.,Common to all fabrics,France Central (FRC)
discoverysrv.frc.prod.migration.windowsazure.com,Discovery service URL,Common to all fabrics,France Central (FRC)
asmsrv.frc.prod.migration.windowsazure.com,Assessment service URL,Common to all fabrics,France Central (FRC)
pod01-srs1.frc.hypervrecoverymanager.windowsazure.com,Migration Service URL,Common to all fabrics,France Central (FRC)
asmsrvprodfrcperfpubsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,France Central (FRC)
asmsrvprodfrcperfsa1.blob.core.windows.net,Storage account used by Assessment service to store performance data,Common to all fabrics,France Central (FRC)
sfdiscoverysrvprodfrcevhubns.servicebus.windows.net,Eventhub for sending the Dependency Mapping data to Azure.,Common to all fabrics,France Central (FRC)
discsrvprodfrcdepsa1.blob.core.windows.net,Storage account for sending the Dependency Mapping data to Azure.,Common to all fabrics,France Central (FRC)
azhypervehubns2019-08-19-13-32-56-154.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,France Central (FRC)
azhypervehubns2019-08-19-13-34-39-445.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,France Central (FRC)
azhypervehubns2019-08-19-13-36-24-633.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,France Central (FRC)
HyperVEHubNs2019-08-19-13-32-56-154.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,France Central (FRC)
HyperVEHubNs2019-08-19-13-34-39-445.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,France Central (FRC)
HyperVEHubNs2019-08-19-13-36-24-633.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Hyper-V,France Central (FRC)
azvmwareehubns2019-08-19-13-37-54-870.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,France Central (FRC)
azvmwareehubns2019-08-19-13-39-29-955.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,France Central (FRC)
azvmwareehubns2019-08-19-13-41-06-848.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,France Central (FRC)
VMwareEHubNs2019-08-19-13-37-54-870.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,France Central (FRC)
VMwareEHubNs2019-08-19-13-39-29-955.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,France Central (FRC)
VMwareEHubNs2019-08-19-13-41-06-848.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,VMWare,France Central (FRC)
ServerEHubNs2019-10-24-12-56-48-236.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,France Central (FRC)
ServerEHubNs2019-10-24-12-58-24-639.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,France Central (FRC)
ServerEHubNs2019-10-24-12-59-57-525.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,France Central (FRC)
azserverehubns2019-10-24-12-56-48-236.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,France Central (FRC)
azserverehubns2019-10-24-12-58-24-639.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,France Central (FRC)
azserverehubns2019-10-24-12-59-57-525.servicebus.windows.net,Eventhub for sending the performance data for assessment to Azure.,Physical,France Central (FRC)
aadcdn.msftauth.net,This is required in the workflow for authentication to azure,Common to all fabrics,India Central (INC)
login.windows.net,This is required in the workflow for authentication to azure,Common to all fabrics,India Central (INC)
login.microsoftonline.com,This is required in the workflow for authentication to azure,Common to all fabrics,India Central (INC)
www.office.com,This is required in the workflow for authentication to azure (legacy redirect),Common to all fabrics,India Central (INC)
m365.cloud.microsoft,This is required in the workflow for authentication to azure (redirection),Common to all fabrics,India Central (INC)
download.microsoft.com,This is required to download the latest versions of the various componentss of the Migrate appliance.,Common to all fabrics,India Central (INC)
portal.azure.com,This is required for access to the Azure portal,Common to all fabrics,India Central (INC)
management.azure.com,This is required for managing various ARM resources in Azure.,Common to all fabrics,India Central (INC)
graph.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,India Central (INC)
developer.microsoft.com,This is required for managing the AAD app for the appliance.,Common to all fabrics,India Central (INC)
dc.services.visualstudio.com,Required for logging,Common to all fabrics,India Central (INC)
rt.services.visualstudio.com,Required for logging,Common to all fabrics,India Central (INC)
server.events.data.microsoft.com,Required for logging,Common to all fabrics,India Central (INC)
eu-mobile.events.data.microsoft.com,Required for logging,Common to all fabrics,India Central (INC)
hypervehubns2018-11-22-14-28-46-222.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,India Central (INC)
hypervehubns2019-03-28-05-32-57-815.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,India Central (INC)
vmwareehubns2018-11-22-14-42-52-696.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,India Central (INC)
serverehubns1.servicebus.windows.net,This is an additional check to validate the connectivity from the appliance to the EventHubs service in Azure.,Common to all fabrics,India Central (INC)
aka.ms/latestapplianceservices/centralindia,This URL redirects to the json mentioning the latest versions of appliance components for the region.,Common to all fabrics,India Central (INC)
aka.ms/latestapplianceservices,This is the fallback URL that  redirects to the json mentioning the latest versions of appliance components for all regions.,Common to all fabrics,India Central (INC)
discoverysrv.inc.prod.migration.windowsazure.com,Discovery service URL,Common to all fabrics,India Central (INC)
